id,name,male_model,female_model,male_anim,female_anim
1,Human,HUM,HUF,ELM,ELF
2,Barbarian,BAM,BAF,ELM,ELF
3,Erudite,ERM,ERF,ELM,ELF
4,Wood Elf,ELM,ELF,,
5,High Elf,HIM,HIF,ELM,ELF
6,Dark Elf,DAM,DAF,ELM,ELF
7,Half Elf,HAM,HAF,ELM,ELF
8,Dwarf,DWM,DWF,,
9,Troll,TRM,TRF,OGF,OGF
10,Ogre,OGM,OGF,OGF,
11,Halfling,HOM,HOF,DWM,DWF
12,Gnome,GNM,GNF,DWM,DWF
13,Aviak,AVI,,,
14,Were Wolf,WER,,,
15,Brownie,BRM,BRF,ELM,ELF
16,Centaur,CEN,,,
17,Golem,GOL,,GIA,
18,Giant,GIA,,,
19,Trakanon,TRK,,,
20,Doppleganger,VST,,,
21,Evil Eye,BEH,,,
22,Beetle,BET,,SPI,
23,Kerra,CPM,CPF,,CPM
24,Fish,FIS,,,
25,Fairy,,FAF,,
26,Old Froglok,FRO,,,
27,Old Froglok Ghoul,FRG,,,
28,Fungusman,FUN,,,
29,Gargoyle,GAR,,,
31,Gelatinous Cube,CUB,,,
32,Ghost,GEM,GEF,,
33,Ghoul,GHU,,GOB,
34,Giant Bat,BAT,,,
35,Giant Eel,,,,
36,Giant Rat,RAT,,,
37,Giant Snake,SNA,,,
38,Giant Spider,SPI,,,
39,Gnoll,GNN,,,
40,Goblin,GOB,,,
41,Gorilla,GOR,,,
42,Wolf,WOL,,,
43,Bear,BEA,,,
44,Freeport Guards,FPM,,ELM,
45,Demi Lich,DML,,,
46,Imp,IMP,,GAR,
47,Griffin,GRI,,DRK,
48,Kobold,KOB,,WER,
49,Lava Dragon,DRA,,,
50,Lion,LIM,LIF,,LIM
51,Lizard Man,LIZ,,,
52,Mimic,MIM,,,
53,Minotaur,MIN,,GNN,
54,Orc,ORC,,,
55,Human Beggar,BGM,,ELM,
56,Pixie,,PIF,,FAF
57,Dracnid,DRM,DRF,,
58,Solusek Ro,SOL,,,
59,Bloodgills,BGG,,KGO,
60,Skeleton,SKE,,,
61,Shark,SHA,,,
62,Tunare,TUN,,,
63,Tiger,TIG,,LIM,
64,Treant,TRE,,,
65,Vampire,DVM,,,
66,Rallos Zek,RAL,,,
67,Highpass Citizen,HHM,,ELM,
68,Tentacle,TEN,,,
69,Will O Wisp,WIL,,,
70,Zombie,ZOM,ZOF,ELM,ELF
71,Qeynos Citizen,QCM,QCF,ELM,ELF
72,Ship,PRE,,,
73,Launch,LAUNCH,,,
74,Piranha,PIR,,,
75,Elemental,ELE,,,
76,Puma,PUM,,LIM,
77,Neriak Citizen,NGM,,ELM,
78,Erudin Citizen,EGM,,ELM,
79,Bixie,BIX,,,
80,Reanimated Hand,REA,,,
81,Rivervale Citizen,RIM,RIF,DWM,DWF
82,Scarecrow,SCA,,,
83,Skunk,SKU,,RAT,
84,Snake Elemental,,,,
85,Spectre,SPE,,,
86,Sphinx,SPH,,DRK,
87,Armadillo,ARM,,RAT,
88,Clockwork Gnome,CLM,CLF,DWM,DWF
